Medicine Name,Company Name,Product Code,Purchase Price,Sale Price,Store Stock,Warehouse Stock,Category,Minimum Alert Level
"Oleum Jec Cap","Paul Brooks Homoeo Lab","PBHL",0,0,0,0,"Homeopathic Drops","3"
"Urosol granules","Paul Brooks Homoeo Lab","PBHL",0,0,0,0,"Homeopathic Drops","6"
"Pb-18","Paul Brooks Homoeo Lab","PBHL",0,0,0,0,"Homeopathic Drops","12"
"H-4","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","5"
"H-11","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","5"
"H-17","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","5"
"H-18","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","5"
"H-20","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","2"
"H-28","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","5"
"Oraleen Drops 15ml","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","24"
"Reumalic 240ml","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","12"
"Morbidol Beauty Cream 20g","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","12"
"Acnolic Cream 20g","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","12"
"Bonlic Drops 30ml","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","5"
"BiO -21 TaB","Public Pharma","Public Pharma",0,0,0,0,"Homeopathic Drops","90"
"Acid Phos Q (C)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","10"
"Agnas Cast Q (B)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","20"
"Alteris Far (S)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Alteris Far Q (S)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","15"
"Alfalfa Q (A)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","20"
"Allium Stiva Q (B)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","15"
"Arnica Mont Q (E)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","3"
"Ashwagandha Q (B)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","10"
"Baptisia Q (S)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Belis Per Q (B)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","3"
"Berberies vulg Q (C)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","50"
"Calendula Off Q (B)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","25"
"China Off Q (D)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","2"
"Colocynthis Q (B)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","3"
"Caratygus Q (C)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","25"
"Damiana Q (D)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","25"
"Gossipium Q (B)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","10"
"Helonias Dioica Q (S)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","2"
"Hydrocotyle Q (B)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","5"
"Phytolacca Dec Q (D)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","5"
"Rhus Tox Q (D)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Sarsaparilla Q (D)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","10"
"Stigmata May Q (D)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","2"
"Syzygium Jamb Q (C)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","25"
"Yerba Stiva Q (D)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","3"
"Zingiber Off Q (B)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","5"
"Dard _E_ Shifa","Ashraf Laboratories","AK",0,0,0,0,"Homeopathic Drops","2"
"Euprashia drop","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","1"
"Be Smart  powder","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","2"
"Be Smart  powder box","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","2"
"Garlina Tab","Clinic Internal Preparation","Clinic",0,0,0,0,"Homeopathic Drops","1"
"29","HFP Pvt Ltd","HFP",0,0,0,0,"Homeopathic Drops","2"
"Oesteon 120ml","Paul Brooks Homoeo Lab","PBHL",0,0,0,0,"Homeopathic Drops","1"
"Silecea 6x","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Phytolacca berry schwabe Tab","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Genetone  solution","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Bio - 21 Tab","Kent Homoeopathic Pharmacy","Kent",0,0,0,0,"Homeopathic Drops","6"
"Kent motalien powder","Kent Homoeopathic Pharmacy","Kent",0,0,0,0,"Homeopathic Drops","6"
"Tonsi-B 120ml","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","12"
"Malca 120ml","Paul Brooks Homoeo Lab","PBHL",0,0,0,0,"Homeopathic Drops","3"
"Arnica Mont 200","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Urtica Q (D)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Kali carb 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Borax 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Nosetone cap","NazZ Pharma","NazZ",0,0,0,0,"Homeopathic Drops","1"
"Hydrastis Q (s)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Cantharis Q (S)","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Female","Kent Homoeopathic Pharmacy","Kent",0,0,0,0,"Homeopathic Drops","1"
"Hydrengea Q (D)","Kent Homoeopathic Pharmacy","Kent",0,0,0,0,"Homeopathic Drops","1"
"Hydrengea Q (E)","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Cinnamomum 30","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"10ml potiences 200","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"10ml potiences 1m","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Sabal ser 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Allumina 200","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","1"
"Haper sulf 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Bryta carb 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"HR No 364","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Chimaphilla Q","Clinic Internal Preparation","Clinic",0,0,0,0,"Homeopathic Drops","1"
"Cactus Q","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Taraxacum Q","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Silicea 30","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Dai","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Hydrastis 30","Kent Homoeopathic Pharmacy","Kent",0,0,0,0,"Homeopathic Drops","1"
"Alfalfa Shwabe 100ml Syp","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Brain 30 30ml","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Bryonia Alb Q","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Pb-14","Paul Brooks Homoeo Lab","PBHL",0,0,0,0,"Homeopathic Drops","10"
"Acid Phos 1M","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Fev6","T.S. Laboratories","T.S",0,0,0,0,"Homeopathic Drops","1"
"Psorinum 1M","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Ashwaganda Q","Kent Homoeopathic Pharmacy","Kent",0,0,0,0,"Homeopathic Drops","1"
"R 130","Dr. Reckeweg Germany","RECK",0,0,0,0,"Homeopathic Drops","1"
"R191","Dr. Reckeweg Germany","RECK",0,0,0,0,"Homeopathic Drops","1"
"R183","Dr. Reckeweg Germany","RECK",0,0,0,0,"Homeopathic Drops","1"
"Naxul Comp Tab","Flufger Pharma","Flufger",0,0,0,0,"Homeopathic Drops","1"
"PTK 87","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Damialex 120ml","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","1"
"Urea pura 200","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"GINSENG 30 Tab","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","1"
"Ghamomilla 60ml","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","1"
"Asthalex -B","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","1"
"H-Pylori","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","1"
"Nappy rash 25 gm","Paul Brooks Homoeo Lab","PBHL",0,0,0,0,"Homeopathic Drops","1"
"Be-smart powder","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","1"
"Blosmo Gel tab","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","1"
"Dyrofine tab","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","1"
"justicia tab","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","1"
"200 potience 120ml","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","2"
"30 potiwnce 120ml","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"D-L","Clinic Internal Preparation","Clinic",0,0,0,0,"Homeopathic Drops","1"
"Bl-8","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","2"
"Bl 8","BLOSSOM Homeo Labs","BL",0,0,0,0,"Homeopathic Drops","2"
"Bp normal","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"29 Mer Sol Drops","HFP Pvt Ltd","HFP",0,0,0,0,"Homeopathic Drops","1"
"Salajeet syrp","masod Pharma","masod",0,0,0,0,"Homeopathic Drops","1"
"Suranjan cap","Clinic Internal Preparation","Clinic",0,0,0,0,"Homeopathic Drops","1"
"Rubinia pseda 30","Farhan Homoeo","Farhan",0,0,0,0,"Homeopathic Drops","1"
"Ancardium 200","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Five phos 12x","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Spo","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Sabal sar 30","farhan Pharma","farhan",0,0,0,0,"Homeopathic Drops","1"
"Solidigo 30","Farhan Homoeo","Farhan",0,0,0,0,"Homeopathic Drops","1"
"Mek-Cough 450ml","MEKTUM Homeo Pharma","MEK",0,0,0,0,"Homeopathic Drops","1"
"Berbaris Q 120ml","MEKTUM Homeo Pharma","MEK",0,0,0,0,"Homeopathic Drops","1"
"Acid phos Q","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"58","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Lechesis 1M","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Osteon 120ml","Paul Brooks Homoeo Lab","PBHL",0,0,0,0,"Homeopathic Drops","1"
"Aletrican 120ml","Paul Brooks Homoeo Lab","PBHL",0,0,0,0,"Homeopathic Drops","1"
"Slinium 200","B.H.P Laboratory (PVT) LTD","BHP",0,0,0,0,"Homeopathic Drops","1"
"Belladona cm","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Antimonium Tart 30 30ml","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
"Calc flour 30","Kent Homoeopathic Pharmacy","Kent",0,0,0,0,"Homeopathic Drops","1"
"10ml BM","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","1"
"1m bm","BM Pvt LTD","BM",0,0,0,0,"Homeopathic Drops","1"
"1m","Dr. Willmar Schwabe Germany","Shwabe",0,0,0,0,"Homeopathic Drops","1"
"Cm","Masood Homoeopathic Pharma","MASOD",0,0,0,0,"Homeopathic Drops","1"
