Party Code,Party Name,Account Type,City,Phone,Salesman,Opening Balance
"109","Naseer Medical Store (Jahan Mori)","Jahan Mori","","","",0
"110","Mughal H/S","Local Market","","","",0
"111","Dr Shah Nawaz (BANDHI)","Bandhi","","","",0
"112","Hakeem Abid Ali (GOLARCHI)","GOLARCHI","","","",0
"61","H/Dr.Irfan (T.A)","T.Adam","","","",0
"62","Dr Akram (Rehman Clinic) (Shahdadpure)","SHADADPUR","","","",0
"63","Dr Asif Blossom","Sales Man","","","",0
"64","Cantimade Traders","Supplier","","","",0
"113","Bhej Pagara Madical Store (SANGER)","SANGER","","","",0
"114","Ali Homoeo Store (SANGER)","SANGER","","","",0
