"ID","Item Name","Item Code","Naration","Minimum Level","Sale Price","Purchase Price"
"441","95 Platina 30Ml","BM","0","12","190","190"
"442","96 Agraphis 30Ml","BM","0","12","190","190"
"443","97 Phytolacca Dec 30Ml","BM","0","12","190","190"
"444","98 Sanguinaria 30Ml","BM","0","12","160","190"
"445","99 Guaiacum 30Ml","BM","0","12","190","190"
"446","100 Castoreum 30Ml","BM","0","12","190","190"
"447","101 Bromium 30Ml","BM","0","12","190","190"
"448","102 Cuprum 30Ml","BM","0","12","190","114"
"449","103 Kali Bic 30Ml","BM","0","12","190","96"
"450","104 Chimaphila 30Ml","BM","0","12","160","160"
"451","105 Ikshugandha 30Ml","BM","0","12","190","190"
"452","107 Skookum 30Ml","BM","0","12","190","114"
"453","106 Aesculus 30Ml","BM","0","12","190","190"
"454","108 Calc Caust 30Ml","BM","0","12","160","96"
"455","109 Grindelia Rub 30Ml","BM","0","12","190","160"
"456","110  Rhus Tox 30Ml","BM","0","12","0","96"
"457","111 Arsenic Alb 30Ml","BM","0","12","190","96"
"458","112 Iris Vers 30Ml","BM","0","12","190","190"
"459","113 Amloki 30Ml","BM","0","12","190","190"
"460","114 Rhus Mara 30Ml","BM","0","12","190","160"
"461","115 Borax 30Ml","BM","0","12","190","160"
"462","116 Glonine 30Ml","BM","0","12","190","114"
"463","117 Chenopodium 30Ml","BM","0","12","190","114"
"464","118 Anacardium 30Ml","BM","0","12","0","190"
"465","119 Calcium Iod 30Ml","BM","0","12","190","114"
"466","120 Abroma Aug 30Ml","BM","0","12","190","190"
"467","121 Rhus Vernix 30Ml","BM","0","12","160","114"
"468","122 Sabal 30Ml","BM","0","12","190","190"
"469","123 Verbascum 30Ml","BM","0","12","160","114"
"470","124 Acid Nit 30Ml","BM","0","12","190","160"
"471","125 Dolichos 30Ml","BM","0","12","190","160"
"472","126 Stigmata May 30Ml","BM","0","12","190","160"
"473","127 Yerba 30Ml","BM","0","12","190","114"
"474","128 Bryonia 30Ml","BM","0","12","190","114"
"475","129 Leptandra 30Ml","BM","0","12","160","114"
"476","130 Ferrum Phos 30Ml","BM","0","12","190","190"
"477","131 Gymnema 30Ml","BM","0","12","190","160"
"478","132 Cadmium Sulph 30Ml","BM","0","12","160","160"
"479","133 Silicea 30Ml","BM","0","12","190","190"
"480","134 Myristica 30Ml","BM","0","12","190","190"
"481","135 Curcuma 30Ml","BM","0","12","190","190"
"482","136 Lathyrus Sativ 30Ml","BM","0","12","160","114"
"483","137 Prunus Cer 30Ml","BM","0","12","160","114"
"484","138 Cephallandra Ind 30Ml","BM","0","12","0","160"
"485","139 Rhododendron 30Ml","BM","0","12","190","96"
"486","140 Causticum 30Ml","BM","0","12","160","114"
"487","141 Symphytum 30Ml","BM","0","12","0","160"
"488","142 Cichorium 30Ml","BM","0","12","0","160"
"489","143 Alfalfa 30Ml","BM","0","12","160","114"
"490","144 Rosmarinus 30Ml","BM","0","12","0","160"
"491","145 Strophanthus 30Ml","BM","0","12","190","200"
"492","146 Calendula Off 30Ml","BM","0","12","0","160"
"493","147  Plantago Maj 30Ml","BM","0","12","0","190"
"494","148 Dioscorea 30Ml","BM","0","12","160","190"
"495","149 Taraxacum 30Ml","BM","0","12","0","190"
"496","150 Justicia Adhatoda 30Ml","BM","0","12","190","190"
"497","151 Gelsemium 30Ml","BM","0","12","190","145"
"498","152 Cyclamen 30Ml","BM","0","12","190","190"
"499","153 Digitails 30Ml","BM","0","12","190","190"
"500","154 Ptelea 30Ml","BM","0","12","190","96"
"501","155 Hamfolium 30Ml","BM","0","12","0","190"
"502","156 Hydrageron 30Ml","BM","0","12","190","190"
"503","157 Pulsatilla 30Ml","BM","0","12","160","190"
"504","158 Podophyllum 30Ml","BM","0","12","0","190"
"505","159 A.Janosia 30Ml","BM","0","12","160","96"
"506","160 Graphites 30Ml","BM","0","12","190","114"
"507","161 Sangubarb 30Ml","BM","0","12","0","0"
"508","162 Anagalis 30Ml","BM","0","12","0","160"
"509","163 Kali Sulph 30Ml","BM","0","12","190","190"
"510","164 Balsum 30Ml","BM","0","12","190","114"
"511","165 Angelica Atro 30Ml","BM","0","12","0","190"
"512","166 Aegle Folia 30Ml","BM","0","12","0","190"
"513","167 Abrotanum 30Ml","BM","0","12","190","160"
"514","168 Conium 30Ml","BM","0","12","0","160"
"515","169 Ipecac 30Ml","BM","0","12","0","0"
"516","170 Doryphora 30Ml","BM","0","12","160","96"
"517","171 Anti Tart 30Ml","BM","0","12","0","190"
"518","172 Iodium 30Ml","BM","0","12","190","190"
"519","179 Digioxy 30Ml","BM","0","12","190","190"
"520","173 Rhus Uren 30Ml","BM","0","12","0","0"
"521","174 Lecithinum 30Ml","BM","0","12","0","190"
"522","175 Casvara Sag 30Ml","BM","0","12","190","190"
"523","176 Aconite Nap 30Ml","BM","0","12","190","114"
"524","177 Arnica Mont 30Ml","BM","0","12","0","190"
"525","178 Vaccininum 30Ml","BM","0","12","0","190"
"526","180 Argentum Nit 30Ml","BM","0","12","190","190"
"527","181 Helleborus","BM","0","12","0","190"
"528","182 Merc Sol 30Ml","BM","0","12","190","190"
"529","183 Cineraria 30Ml","BM","0","12","160","114"
"530","184 Triticum Rep 30Ml","BM","0","12","190","190"
"531","185 Echiphos 30Ml","BM","0","12","0","190"
"532","1 Apis Melliffica 20Ml","HFP","Drops","24","230","145"
"533","2 Collin Sonia 20Ml","HFP","Drops","24","230","145"
"534","3 Cardus Marinus 20Ml","HFP","Drops","24","145","145"
"535","4 Pelargonium 20Ml","HFP","Drops","24","145","145"
"536","5 Syzygium 20Ml","HFP","Drops","24","120","145"
"537","6 Drosera 20Ml","HFP","Drops","24","145","145"
"538","8 Lemna Minar  20Ml","HFP","Drops","24","170","120"
"539","10 Sepia 20Ml","HFP","Dorps","24","170","170"
"540","13 Calc Carb 20Ml","HFP","Drops","24","145","145"
"541","14 Echinacea 20Ml","HFP","Drops","24","170","145"
"542","15 Rhustox 20Ml","HFP","Drops","24","230","145"
"543","16 Pulsatilla 20Ml","HFP","0","24","170","170"
"544","19 Carbo Veg 20Ml","HFP","Drops","24","145","145"
"545","20 Cratagus Oxy 20Ml","HFP","Drops","24","145","145"
"546","21 Blatta Ori 20Ml","HFP","Drops","24","120","145"
"547","22 Millefolium 20Ml","HFP","Drops","24","145","145"
"548","23 Canthris 20Ml","HFP","Drops","24","230","145"
"549","24 Kali Brom 20Ml","HFP","Drops","24","145","145"
"550","25 Sabal Serr 20Ml","HFP","Drops","24","170","170"
"551","26 Filix Mas 20Ml","HFP","Drops","24","120","120"
"552","27 Kalmia 20Ml","HFP","Drops","24","170","145"
"553","28 Thyrodinum 20Ml","HFP","Drops","24","145","145"
"554","32 Fraxinus 20Ml","HFP","Drops","24","170","145"
"555","33 Hepatica 20Ml","HFP","Drops","24","145","145"
"556","34 Borex 20Ml","HFP","Drops","24","230","230"
"557","35 Acid Phos 20Ml","HFP","Drops","24","145","145"
"558","36 Arg Nit 20Ml","HFP","Drops","24","230","145"
"559","37 Fel Turi 20Ml","HFP","Drops","24","145","0"
"560","38 Berbaris Velg 20Ml","HFP","Drops","24","230","230"
"561","39 Sulfer 20Ml","HFP","Drops","24","170","145"
"562","40 Yohimbinum 20Ml","HFP","Drops","24","100","145"
"563","41 Teucrium 20Ml","HFP","Drops","24","100","145"
"564","42 Petrolium 20Ml","HFP","Drops","24","170","145"
"565","43 Histamin 20Ml","HFP","Drops","24","230","145"
"566","44 Jaborandi 20Ml","HFP","Drops","24","145","145"
"567","45 Petisonum 20Ml","HFP","Drops","24","170","145"
"568","46 Hydrocotyle 20Ml","HFP","Drops","24","145","145"
"569","47 Ipicac 20Ml","HFP","Drops","24","0","145"
"570","48 Alfalfa 20Ml","HFP","Drops","24","170","145"
"571","49 Cholistrenum 20Ml","HFP","Drops","24","120","145"
"572","50 Rauwalfia 20Ml","HFP","Drops","24","170","145"
"573","Alfalfa 120Ml Syp","HFP","0","20","200","150"
"574","Alfalfa 250Ml Syp","HFP","0","20","375","375"
"575","Allergic 120Ml Syp","HFP","0","40","250","250"
"576","Asthama-H 120Ml Syp","HFP","0","20","250","185"
"577","Biona 120Ml Syp","HFP","0","15","220","170"
"578","Bone Plus 120Ml Syp","HFP","0","25","230","130"
"579","Cough Control 120Ml Syp","HFP","0","50","230","230"
"580","Dyrofen 120Ml Syp","HFP","0","20","0","0"
"581","Fever Kill 120Ml Syp","HFP","0","25","210","0"
"582","Ferrum Compose 120Ml Syp","HFP","0","25","150","150"
"583","Gastrogena 120Ml Syp","HFP","0","50","230","230"
"584","Gastogena + Podina 250Ml Syp","HFP","0","30","200","280"
